normalized_key,original_entries,ranks,key_kinds,affected_records_in_our_data,data_venue_examples,current_match_target,priority_flag,rank_conflict
big data,[SJR:norm_title] Journal of Big Data | [SJR:norm_title] Big Data,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Big Data,,Y
biological control,[SJR:norm_title] Biological Control | [SJR:norm_title] Journal of Biological Control,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Journal of Biological Control,,Y
biological research,[SJR:norm_title] Biological Research | [SJR:norm_title] Journal of Biological Research (Greece) | [SJR:norm_title] Journal of Biological Research (Italy),SJR Q1 | SJR Q4 | SJR Q4,norm_title,0,,[SJR Q4] Journal of Biological Research (Italy),,Y
biomaterials,[SJR:norm_title] Biomaterials | [SJR:norm_title] International Journal of Biomaterials,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] International Journal of Biomaterials,,Y
biometrics,[SJR:norm_title] Biometrics | [SJR:norm_title] International Journal of Biometrics,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] International Journal of Biometrics,,Y
biostatistics,[SJR:norm_title] Biostatistics | [SJR:norm_title] International Journal of Biostatistics,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] International Journal of Biostatistics,,Y
biosystems engineering,[SJR:norm_title] Biosystems Engineering | [SJR:norm_title] Journal of Biosystems Engineering,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Biosystems Engineering,,Y
breast cancer,[SJR:norm_title] Breast Cancer | [SJR:norm_title] Journal of Breast Cancer | [SJR:norm_title] International Journal of Breast Cancer,SJR Q1 | SJR Q2 | SJR Q3,norm_title,0,,[SJR Q3] International Journal of Breast Cancer,,Y
business society,[SJR:norm_title] Business and Society | [SJR:norm_title] International Journal of Business and Society,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] International Journal of Business and Society,,Y
cancer,[SJR:norm_title] Cancer | [SJR:norm_title] International Journal of Cancer | [SJR:norm_title] Journal of Cancer,SJR Q1 | SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Cancer,,Y
cardiology,[SJR:norm_title] International Journal of Cardiology | [SJR:norm_title] Journal of Cardiology | [SJR:norm_title] Cardiology (Switzerland),SJR Q1 | SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Cardiology (Switzerland),,Y
cell biology,[SJR:norm_title] Journal of Cell Biology | [SJR:norm_title] Cell Biology International | [SJR:norm_title] International Journal of Cell Biology,SJR Q1 | SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] International Journal of Cell Biology,,Y
central south university,[SJR:norm_title] Journal of Central South University | [SJR:norm_title] Journal of Central South University (Medical Sciences),SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Journal of Central South University (Medical Sciences),,Y
ceramics,[SJR:norm_title] Ceramics International | [SJR:norm_title] Ceramics | [SJR:norm_title] Journal of Ceramics,SJR Q1 | SJR Q2 | SJR Q4,norm_title,0,,[SJR Q4] Journal of Ceramics,,Y
chinese medicine,[SJR:norm_title] Chinese Medicine (United Kingdom) | [SJR:norm_title] Journal of Chinese Medicine,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Journal of Chinese Medicine,,Y
climate,[SJR:norm_title] Journal of Climate | [SJR:norm_title] Climate,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Climate,,Y
clinical ethics,[SJR:norm_title] Journal of Clinical Ethics | [SJR:norm_title] Clinical Ethics,SJR Q3 | SJR Q1,norm_title,0,,[SJR Q1] Clinical Ethics,,Y
clinical hematology,[SJR:norm_title] Clinical Hematology International | [SJR:norm_title] Journal of Clinical Hematology,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Journal of Clinical Hematology,,Y
clinical hypertension,[SJR:norm_title] Clinical Hypertension | [SJR:norm_title] Journal of Clinical Hypertension,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Clinical Hypertension,,Y
clinical immunology,[SJR:norm_title] Journal of Clinical Immunology | [SJR:norm_title] Clinical Immunology,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Clinical Immunology,,Y
clinical pharmacology therapeutics,[SJR:norm_title] Clinical Pharmacology and Therapeutics | [SJR:norm_title] International Journal of Clinical Pharmacology and Therapeutics,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] International Journal of Clinical Pharmacology and Therapeutics,,Y
cloud computing,[SJR:norm_title] Journal of Cloud Computing | [SJR:norm_title] International Journal of Cloud Computing,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] International Journal of Cloud Computing,,Y
cognitive science,[SJR:norm_title] Cognitive Science | [SJR:norm_title] Journal of Cognitive Science,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Journal of Cognitive Science,,Y
communication,[SJR:norm_title] Journal of Communication | [SJR:norm_title] International Journal of Communication | [SJR:norm_title] Journal of International Communication,SJR Q1 | SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Journal of International Communication,,Y
communication management,[SJR:norm_title] Journal of Communication Management | [SJR:norm_title] Communication and Management,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Communication and Management,,Y
communications,[SJR:norm_title] Communications | [SJR:norm_title] Journal of Communications,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Journal of Communications,,Y
comparative politics,[SJR:norm_title] Comparative Politics | [SJR:norm_title] Journal of Comparative Politics,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Comparative Politics,,Y
comparative sociology,[SJR:norm_title] International Journal of Comparative Sociology | [SJR:norm_title] Comparative Sociology,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Comparative Sociology,,Y
complexity,[SJR:norm_title] Journal of Complexity | [SJR:norm_title] Complexity,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Complexity,,Y
computational applied mathematics,[SJR:norm_title] Journal of Computational and Applied Mathematics | [SJR:norm_title] Computational and Applied Mathematics,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Computational and Applied Mathematics,,Y
computational geometry,[CORE:norm_title] International Symposium on Computational Geometry | [SJR:norm_title] Journal of Computational Geometry,CORE A* | SJR Q3,norm_title,0,,[CORE A*] International Symposium on Computational Geometry,,Y
computational linguistics,[CORE:norm_title] International Conference on Computational Linguistics | [SJR:norm_title] Computational Linguistics,CORE B | SJR Q1,norm_title,0,,[CORE B] International Conference on Computational Linguistics,,Y
computational science,[CORE:norm_title] International Conference on Computational Science | [SJR:norm_title] Journal of Computational Science,CORE Multiconference | SJR Q1,norm_title,0,,[CORE Multiconference] International Conference on Computational Science,,Y
consumer marketing,[SJR:norm_title] Journal of Consumer Marketing | [SJR:norm_title] Journal of International Consumer Marketing,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of International Consumer Marketing,,Y
contemporary physics,[SJR:norm_title] Contemporary Physics | [SJR:norm_title] Journal of Contemporary Physics,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Journal of Contemporary Physics,,Y
criminal justice review,[SJR:norm_title] Criminal Justice Review | [SJR:norm_title] International Criminal Justice Review,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] International Criminal Justice Review,,Y
critical care medicine,[SJR:norm_title] Critical Care Medicine | [SJR:norm_title] Journal of Critical Care Medicine,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Critical Care Medicine,,Y
critique,[SJR:norm_title] Critique | [SJR:norm_title] Critique (France),SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Critique (France),,Y
crop protection,[SJR:norm_title] Crop Protection | [SJR:norm_title] Journal of Crop Protection,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Journal of Crop Protection,,Y
dairy science,[SJR:norm_title] Journal of Dairy Science | [SJR:norm_title] International Journal of Dairy Science,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] International Journal of Dairy Science,,Y
data information management,"[SJR:norm_title] Data and Information Management | [SJR:norm_title] Journal of Data, Information and Management",SJR Q1 | SJR Q2,norm_title,0,,"[SJR Q2] Journal of Data, Information and Management",,Y
dental journal,[SJR:norm_title] International Dental Journal | [SJR:norm_title] Dental Journal,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Dental Journal,,Y
dentistry,[SJR:norm_title] Journal of Dentistry | [SJR:norm_title] International Journal of Dentistry | [SJR:norm_title] Journal of Dentistry (Iran) | [SJR:norm_title] Dentistry 3000,SJR Q1 | SJR Q1 | SJR Q2 | SJR Q3,norm_title,0,,[SJR Q3] Dentistry 3000,,Y
design,[SJR:norm_title] International Journal of Design | [SJR:norm_title] Journal of Design,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Design,,Y
designs for learning,[SJR:norm_title] Designs for Learning | [SJR:norm_title] International Journal of Designs for Learning,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] International Journal of Designs for Learning,,Y
development,[SJR:norm_title] Development (Cambridge) | [SJR:norm_title] Journal of International Development | [SJR:norm_title] Development,SJR Q1 | SJR Q2 | SJR Q3,norm_title,0,,[SJR Q3] Development,,Y
differential equations,[SJR:norm_title] Journal of Differential Equations | [SJR:norm_title] Differential Equations | [SJR:norm_title] International Journal of Differential Equations,SJR Q1 | SJR Q2 | SJR Q3,norm_title,0,,[SJR Q3] International Journal of Differential Equations,,Y
distributed computing,[CORE:norm_title] International Symposium on Distributed Computing (was WDAG) | [SJR:norm_title] Distributed Computing,CORE A | SJR Q2,norm_title,0,,[CORE A] International Symposium on Distributed Computing (was WDAG),,Y
diversity higher education,[SJR:norm_title] Journal of Diversity in Higher Education | [SJR:norm_title] Diversity in Higher Education,SJR Q1 | SJR -,norm_title,0,,[SJR -] Diversity in Higher Education,,Y
ecological engineering,[SJR:norm_title] Ecological Engineering | [SJR:norm_title] Journal of Ecological Engineering,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Ecological Engineering,,Y
ecology,[SJR:norm_title] Journal of Ecology | [SJR:norm_title] Ecology | [SJR:norm_title] International Journal of Ecology,SJR Q1 | SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] International Journal of Ecology,,Y
econometrics,[SJR:norm_title] Journal of Econometrics | [SJR:norm_title] Econometrics,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Econometrics,,Y
economic geography,[SJR:norm_title] Economic Geography | [SJR:norm_title] Journal of Economic Geography | [SJR:norm_title] Economic Geography (Switzerland),SJR Q1 | SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Economic Geography (Switzerland),,Y
economic geology,[SJR:norm_title] Economic Geology | [SJR:norm_title] Journal of Economic Geology,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Journal of Economic Geology,,Y
economic journal,[SJR:norm_title] Economic Journal | [SJR:norm_title] International Economic Journal,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] International Economic Journal,,Y
economic theory,[SJR:norm_title] Journal of Economic Theory | [SJR:norm_title] Economic Theory | [SJR:norm_title] International Journal of Economic Theory,SJR Q1 | SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] International Journal of Economic Theory,,Y
economics,[SJR:norm_title] Journal of International Economics | [SJR:norm_title] International Economics | [SJR:norm_title] Economics,SJR Q1 | SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Economics,,Y
economics business,[SJR:norm_title] Journal of Economics and Business | [SJR:norm_title] International Journal of the Economics of Business,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] International Journal of the Economics of Business,,Y
economics development,[SJR:norm_title] Journal of Economics and Development | [SJR:norm_title] Economics of Development (discontinued),SJR Q1 | SJR -,norm_title,0,,[SJR -] Economics of Development (discontinued),,Y
education,[SJR:norm_title] Journal of Education | [SJR:norm_title] Journal of Education (South Africa),SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Journal of Education (South Africa),,Y
education culture society,"[SJR:norm_title] Journal of Education Culture and Society | [SJR:norm_title] Education, Culture, and Society",SJR Q1 | SJR Q4,norm_title,0,,"[SJR Q4] Education, Culture, and Society",,Y
educational research,[SJR:norm_title] Educational Research | [SJR:norm_title] International Journal of Educational Research | [SJR:norm_title] Journal of Educational Research,SJR Q1 | SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Educational Research,,Y
emergency nursing,[SJR:norm_title] International Emergency Nursing | [SJR:norm_title] Journal of Emergency Nursing,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Emergency Nursing,,Y
empirical economics,[SJR:norm_title] Empirical Economics | [SJR:norm_title] International Journal of Empirical Economics,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] International Journal of Empirical Economics,,Y
empirical software engineering measurement,[CORE:norm_title] International Symposium on Empirical Software Engineering and Measurement | [SJR:norm_title] International Symposium on Empirical Software Engineering and Measurement,CORE A | SJR -,norm_title,0,,[CORE A] International Symposium on Empirical Software Engineering and Measurement,,Y
endocrinology metabolism,[SJR:norm_title] Endocrinology and Metabolism | [SJR:norm_title] International Journal of Endocrinology and Metabolism | [SJR:norm_title] Journal of Endocrinology and Metabolism,SJR Q1 | SJR Q3 | SJR Q4,norm_title,0,,[SJR Q4] Journal of Endocrinology and Metabolism,,Y
energy storage,[SJR:norm_title] Journal of Energy Storage | [SJR:norm_title] Energy Storage,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Energy Storage,,Y
engineering,[SJR:norm_title] Engineering | [SJR:norm_title] Journal of Engineering (United Kingdom) | [SJR:norm_title] Journal of Engineering,SJR Q1 | SJR Q2 | SJR Q3,norm_title,0,,[SJR Q4] Engineering,,Y
engineering education,[SJR:norm_title] Journal of Engineering Education | [SJR:norm_title] International Journal of Engineering Education,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] International Journal of Engineering Education,,Y
engineering geology,[SJR:norm_title] Engineering Geology | [SJR:norm_title] Journal of Engineering Geology,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Journal of Engineering Geology,,Y
english studies,[SJR:norm_title] English Studies | [SJR:norm_title] International Journal of English Studies | [SJR:norm_title] Journal of English Studies,SJR Q1 | SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of English Studies,,Y
english teaching,[SJR:norm_title] English Teaching | [SJR:norm_title] English Teaching (South Korea),SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] English Teaching (South Korea),,Y
enterprise information systems,[SJR:norm_title] Enterprise Information Systems | [SJR:norm_title] International Journal of Enterprise Information Systems,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] International Journal of Enterprise Information Systems,,Y
environment health,[SJR:norm_title] Environment and Health | [SJR:norm_title] International Journal of Environment and Health,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] International Journal of Environment and Health,,Y
environmental earth sciences,[SJR:norm_title] Environmental Earth Sciences | [SJR:norm_title] Journal of Environmental and Earth Sciences (discontinued),SJR Q1 | SJR -,norm_title,0,,[SJR -] Journal of Environmental and Earth Sciences (discontinued),,Y
environmental law,[SJR:norm_title] Journal of Environmental Law | [SJR:norm_title] International Environmental Law,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] International Environmental Law,,Y
environmental sustainability,[SJR:norm_title] Environmental Sustainability | [SJR:norm_title] International Journal of Environmental Sustainability,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] International Journal of Environmental Sustainability,,Y
european education,[SJR:norm_title] European Journal of Education | [SJR:norm_title] European Education,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] European Education,,Y
european psychiatry,[SJR:norm_title] European Psychiatry | [SJR:norm_title] European Journal of Psychiatry,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] European Journal of Psychiatry,,Y
evolutionary biology,[SJR:norm_title] Journal of Evolutionary Biology | [SJR:norm_title] Evolutionary Biology,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Evolutionary Biology,,Y
fertility sterility,[SJR:norm_title] Fertility and Sterility | [SJR:norm_title] International Journal of Fertility and Sterility,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] International Journal of Fertility and Sterility,,Y
finance,[SJR:norm_title] Journal of Finance | [SJR:norm_title] International Finance | [SJR:norm_title] Finance,SJR Q1 | SJR Q2 | SJR Q4,norm_title,0,,[SJR Q4] Finance,,Y
folklore,[SJR:norm_title] Folklore (United Kingdom) | [SJR:norm_title] Folklore (Estonia),SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Folklore (Estonia),,Y
food engineering,[SJR:norm_title] Journal of Food Engineering | [SJR:norm_title] International Journal of Food Engineering,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] International Journal of Food Engineering,,Y
food nutrition research,[SJR:norm_title] Food and Nutrition Research | [SJR:norm_title] Journal of Food and Nutrition Research,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Journal of Food and Nutrition Research,,Y
food research,[SJR:norm_title] Food Research International | [SJR:norm_title] Food Research,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Food Research,,Y
food science,[SJR:norm_title] Journal of Food Science | [SJR:norm_title] International Journal of Food Science,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] International Journal of Food Science,,Y
food science biotechnology,[SJR:norm_title] Food Science and Biotechnology | [SJR:norm_title] Journal of Food Science and Biotechnology,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Journal of Food Science and Biotechnology,,Y
food science technology,[SJR:norm_title] Journal of Food Science and Technology | [SJR:norm_title] International Journal of Food Science and Technology | [SJR:norm_title] Food Science and Technology International | [SJR:norm_title] Food Science and Technology (United States) | [SJR:norm_title] Journal of Food Science and Technology (China) | [SJR:norm_title] Journal of Food Science and Technology (Iran),SJR Q2 | SJR Q1 | SJR Q2 | SJR Q3 | SJR Q3 | SJR Q4,norm_title,0,,[SJR Q4] Journal of Food Science and Technology (Iran),,Y
forecasting,[SJR:norm_title] International Journal of Forecasting | [SJR:norm_title] Forecasting | [SJR:norm_title] Journal of Forecasting,SJR Q1 | SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Forecasting,,Y
forest engineering,[SJR:norm_title] International Journal of Forest Engineering | [SJR:norm_title] Forest Engineering,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Forest Engineering,,Y
forestry research,[SJR:norm_title] Forestry Research | [SJR:norm_title] Journal of Forestry Research | [SJR:norm_title] International Journal of Forestry Research,SJR Q1 | SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] International Journal of Forestry Research,,Y
forum,[SJR:norm_title] Forum (Germany) | [SJR:norm_title] FORUM (The Netherlands),SJR Q2 | SJR Q1,norm_title,0,,[SJR Q1] FORUM (The Netherlands),,Y
frontiers education,[CORE:norm_title] Frontiers in Education | [SJR:norm_title] Frontiers in Education,CORE C | SJR Q1,norm_title,0,,[CORE C] Frontiers in Education,,Y
frontiers mechanical engineering,[SJR:norm_title] Frontiers of Mechanical Engineering | [SJR:norm_title] Frontiers in Mechanical Engineering,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Frontiers in Mechanical Engineering,,Y
frontiers physics,[SJR:norm_title] Frontiers of Physics | [SJR:norm_title] Frontiers in Physics,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Frontiers in Physics,,Y
fse,"[CORE:acronym] ACM International Conference on the Foundations of Software Engineering (was ESEC/FSE, changed 2024; duplicate previously listed as ESEC, removed from DB) | [CORE:acronym] International Workshop on Fast Software Encryption",CORE A* | CORE B,acronym,0,,[CORE B] International Workshop on Fast Software Encryption,,Y
functional programming,[CORE:norm_title] International Conference on Functional Programming | [SJR:norm_title] Journal of Functional Programming,CORE A | SJR Q3,norm_title,0,,[CORE A] International Conference on Functional Programming,,Y
fuzzy sets systems,[SJR:norm_title] Fuzzy Sets and Systems | [SJR:norm_title] Transactions on Fuzzy Sets and Systems,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Transactions on Fuzzy Sets and Systems,,Y
gambling studies,[SJR:norm_title] Journal of Gambling Studies | [SJR:norm_title] International Gambling Studies,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] International Gambling Studies,,Y
gastroenterology,[SJR:norm_title] Gastroenterology | [SJR:norm_title] Journal of Gastroenterology | [SJR:norm_title] Gastroenterology (Ukraine),SJR Q1 | SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Gastroenterology (Ukraine),,Y
gastroenterology hepatology,[SJR:norm_title] Journal of Gastroenterology and Hepatology (Australia) | [SJR:norm_title] Gastroenterology and Hepatology,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Gastroenterology and Hepatology,,Y
gender studies,[SJR:norm_title] Journal of Gender Studies | [SJR:norm_title] Gender Studies,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Gender Studies,,Y
genetics,[SJR:norm_title] Genetics | [SJR:norm_title] Journal of Genetics,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Journal of Genetics,,Y
geographical sciences,[SJR:norm_title] Journal of Geographical Sciences | [SJR:norm_title] Geographical Sciences,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Geographical Sciences,,Y
geology,[SJR:norm_title] Geology | [SJR:norm_title] Journal of Geology,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Geology,,Y
geomechanics,[SJR:norm_title] International Journal of Geomechanics | [SJR:norm_title] Journal of Geomechanics,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Geomechanics,,Y
geophysics,[SJR:norm_title] Geophysics | [SJR:norm_title] International Journal of Geophysics,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] International Journal of Geophysics,,Y
health,[SJR:norm_title] International Health | [SJR:norm_title] Health (United Kingdom),SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Health (United Kingdom),,Y
health psychology,[SJR:norm_title] Health Psychology | [SJR:norm_title] Journal of Health Psychology,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Health Psychology,,Y
healthcare informatics research,[SJR:norm_title] Journal of Healthcare Informatics Research | [SJR:norm_title] Healthcare Informatics Research,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Healthcare Informatics Research,,Y
heat mass transfer,[SJR:norm_title] International Journal of Heat and Mass Transfer | [SJR:norm_title] Heat and Mass Transfer,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Heat and Mass Transfer,,Y
hematology,[SJR:norm_title] Hematology (United States) | [SJR:norm_title] International Journal of Hematology | [SJR:norm_title] Hematology (United Kingdom) | [SJR:norm_title] Hematology (Bulgaria),SJR Q1 | SJR Q2 | SJR Q2 | SJR Q4,norm_title,0,,[SJR Q4] Hematology (Bulgaria),,Y
hepatology,[SJR:norm_title] Journal of Hepatology | [SJR:norm_title] Hepatology | [SJR:norm_title] Hepatology International | [SJR:norm_title] International Journal of Hepatology,SJR Q1 | SJR Q1 | SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] International Journal of Hepatology,,Y
hindu studies,[SJR:norm_title] International Journal of Hindu Studies | [SJR:norm_title] Journal of Hindu Studies,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Hindu Studies,,Y
historical geography,[SJR:norm_title] Journal of Historical Geography | [SJR:norm_title] Historical Geography,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Historical Geography,,Y
human evolution,[SJR:norm_title] Journal of Human Evolution | [SJR:norm_title] Human Evolution,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Human Evolution,,Y
human genetics,[SJR:norm_title] Human Genetics | [SJR:norm_title] Journal of Human Genetics,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Human Genetics,,Y
human rights,[SJR:norm_title] Journal of Human Rights | [SJR:norm_title] International Journal of Human Rights | [SJR:norm_title] Human Rights,SJR Q1 | SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Human Rights,,Y
human rights law review,[SJR:norm_title] Human Rights Law Review | [SJR:norm_title] International Human Rights Law Review,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] International Human Rights Law Review,,Y
ieee cloud computing,[CORE:norm_title] IEEE International Conference on Cloud Computing | [SJR:norm_title] IEEE Transactions on Cloud Computing,CORE B | SJR Q1,norm_title,0,,[CORE B] IEEE International Conference on Cloud Computing,,Y
ieee electromagnetic compatibility,[SJR:norm_title] IEEE Transactions on Electromagnetic Compatibility | [SJR:norm_title] IEEE International Symposium on Electromagnetic Compatibility,SJR Q1 | SJR -,norm_title,0,,[SJR -] IEEE International Symposium on Electromagnetic Compatibility,,Y
ieee fuzzy systems,[CORE:norm_title] IEEE International Conference on Fuzzy Systems | [SJR:norm_title] IEEE Transactions on Fuzzy Systems | [SJR:norm_title] IEEE International Conference on Fuzzy Systems,CORE B | SJR Q1 | SJR -,norm_title,0,,[CORE B] IEEE International Conference on Fuzzy Systems,,Y
ieee information theory,[CORE:norm_title] IEEE International Symposium on Information Theory | [SJR:norm_title] IEEE Transactions on Information Theory,CORE B | SJR Q1,norm_title,0,,[CORE B] IEEE International Symposium on Information Theory,,Y
ieee intelligent systems,[CORE:norm_title] IEEE International Conference on Intelligent Systems | [SJR:norm_title] IEEE Intelligent Systems,CORE C | SJR Q1,norm_title,0,,[CORE C] IEEE International Conference on Intelligent Systems,,Y
ieee program comprehension,"[CORE:norm_title] IEEE International Conference on Program Comprehension (previously IWPC, changed in 2006) | [SJR:norm_title] IEEE International Conference on Program Comprehension",CORE A | SJR -,norm_title,0,,"[CORE A] IEEE International Conference on Program Comprehension (previously IWPC, changed in 2006)",,Y
ieee software engineering,[CORE:norm_title] IEEE Software Engineering Workshop | [SJR:norm_title] IEEE Transactions on Software Engineering,CORE C | SJR Q1,norm_title,0,,[CORE C] IEEE Software Engineering Workshop,,Y
ieee test conference,[CORE:norm_title] IEEE International Test Conference | [SJR:norm_title] IEEE International Test Conference (TC),CORE A | SJR -,norm_title,0,,[CORE A] IEEE International Test Conference,,Y
immunotherapy,[SJR:norm_title] Journal of Immunotherapy | [SJR:norm_title] Immunotherapy,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Immunotherapy,,Y
infectious diseases,[SJR:norm_title] Journal of Infectious Diseases | [SJR:norm_title] International Journal of Infectious Diseases | [SJR:norm_title] Infectious Diseases,SJR Q1 | SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Infectious Diseases,,Y
inflammation,[SJR:norm_title] Inflammation | [SJR:norm_title] Journal of Inflammation (United Kingdom) | [SJR:norm_title] International Journal of Inflammation,SJR Q1 | SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] International Journal of Inflammation,,Y
inflammation research,[SJR:norm_title] Inflammation Research | [SJR:norm_title] Journal of Inflammation Research,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Inflammation Research,,Y
informatics,[CORE:acronym] IEEE International Scientific Conference on Informatics | [SJR:norm_title] Informatics,CORE National:Slovakia | SJR Q1,acronym | norm_title,0,,[CORE National:Slovakia] IEEE International Scientific Conference on Informatics,,Y
information display,[SJR:norm_title] Journal of Information Display | [SJR:norm_title] Information Display,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Information Display,,Y
information security applications,[CORE:norm_title] International Workshop on Information Security Applications | [SJR:norm_title] Journal of Information Security and Applications,CORE National: korea | SJR Q1,norm_title,0,,[CORE National: korea] International Workshop on Information Security Applications,,Y
information technology management,[SJR:norm_title] Information Technology and Management | [SJR:norm_title] Journal of Information Technology Management | [SJR:norm_title] International Journal of Information Technology and Management,SJR Q1 | SJR Q3 | SJR Q4,norm_title,0,,[SJR Q4] International Journal of Information Technology and Management,,Y
