in_sample_30,judge_relevance,Key,DOI,Year,Venue,Title,MeSH_terms,Abstract_excerpt
,,8LSZP6PA,10.1016/0022-510x(93)90070-f,1993,Journal of the neurological sciences,"Regulation of membrane-mediated chronic muscle degeneration in dystrophic hamsters by calcium-channel blockers: diltiazem, nifedipine and verapamil.","Animals; Male; Body Weight/drug effects; Organ Size/drug effects; Calcium Channel Blockers/*pharmacology; Calcium/blood; Cardiomegaly/physiopathology; Creatine Kinase/blood; Cricetinae; Diltiazem/pharmacology; Fructose-Bisphosphate Aldolase/blood; Hypertrophy/physiopathology; L-Lactate Dehydrogenase/blood; Magnesium/blood; Membranes/drug effects/metabolism; Muscles/pathology; Muscular Dystrophy, Animal/enzymology/*physiopathology; Nifedipine/pharmacology; Verapamil/pharmacology","Membrane-mediated excessive intracellular calcium accumulation (EICA) is a fundamental pathogenetic event associated with chronic muscle degeneration in  patients with Duchenne muscular dystrophy (DMD), and in animals with hereditary  muscular dystrophy (HMD). Because of potential Ca(2+)-channel blocking  properties, we investigated the relative efficacies of chronic diltiazem (DTZM)  (50 mg/kg/d)"
,,Z2CV799N,10.1186/s40795-025-01117-y,2025,BMC nutrition,"A mobile app intervention to support nutrition education for heart failure management: co-design, development and user-testing.",Nutrition; Adherence; mHealth; Diet; eHealth; Heart failure; Mobile apps; Self-manage; Sodium,"BACKGROUND: Mobile apps show promise in supporting patients with heart failure (HF) in adhering to dietary guidelines for sodium and fluid. Though numerous apps  to support HF management exist, only a few have dedicated features to support  dietary adherence. OBJECTIVES: To describe the process and outcomes from the  development and testing of Sodium Navigator(HF), a mobile app intervention to  en"
Y,,Y9R9JNYF,,2004,Neurology & clinical neurophysiology : NCN,Effects of filtering on computer-aided analysis for detection of chronic ischemic heart disease with unshielded rest magnetocardiographic mapping.,"Humans; Chronic Disease; *Electromagnetic Fields; *Signal Processing, Computer-Assisted; Body Surface Potential Mapping/*methods; Electrocardiography/*methods; Heart Conduction System; Myocardial Ischemia/*diagnosis/physiopathology; Radiation Protection/methods","Recent studies have reported better sensitivity of magnetocardiographic (MCG) mapping, as compared to ECG, in detecting ventricular repolarization (VR)  abnormalities due to myocardial ischemia in patients (pts) with Ischemic Heart  Disease (IHD). For quick data reduction, automatic analysis of MCG mapping is  mostly used. The aim of our study was to evaluate if filtering modality could  alter aut"
,,B8QH6EPU,10.3748/wjg.v12.i7.1078,2006,World journal of gastroenterology,Chronic low vitamin intake potentiates cisplatin-induced intestinal epithelial cell apoptosis in WNIN rats.,"Animals; Male; Rats; Rats, Wistar; Body Weight/drug effects; Rats, Inbred Strains; Gene Expression Regulation/drug effects; Diet; Alkaline Phosphatase/analysis; Apoptosis/*drug effects; bcl-2-Associated X Protein/analysis/genetics; Caspase 3; Caspases/analysis/genetics; Cisplatin/*pharmacology; Dietary Supplements; DNA Fragmentation; Intestinal Mucosa/chemistry/*cytology/*drug effects; Jejunum/chemistry/cytology/drug effects; Oxidative Stress/drug effects; Proto-Oncogene Proteins c-bcl-2/analysis/genetics; Thiobarbituric Acid Reactive Substances/metabolism; Vitamins/*administration & dosage/blood","AIM: To investigate if cisplatin alters vitamin status and if VR modulates cisplatin induced intestinal apoptosis and oxidative stress in Wistar/NIN (WNIN)  male rats. METHODS: Weanling, WNIN male rats (n = 12 per group) received  adlibitum for 17 wk: control diet (20% protein) or the same with 50% vitamin  restriction. They were then sub-divided into two groups of six rats each and  administered "
,,9HY2CRT6,10.24425/pjvs.2020.133645,2020,Polish journal of veterinary sciences,An approximate mathematical model binding the height and position of lumbar vertebrae in the canine spine.,"Animals; Female; Male; *Models, Biological; dogs; Dogs/*anatomy & histology; lumbar vertebrae; Lumbar Vertebrae/*anatomy & histology; mathematical model; spine","The lumbosacral region of the spine is the most susceptible to pathology in large breed dogs. The most common pathologies of this segment include intervertebral  disc disease, distortion of vertebrae, narrowing of the lumbosacral canal and  congenital defects of the spine. The aim of this study is to develop a  mathematical model describing the height of each lumbosacral vertebra in the dog  in re"
Y,,QYG6XGM9,10.5435/jaaosglobal-d-19-00118,2019,Journal of the American Academy of Orthopaedic Surgeons. Global research & reviews,Direct Anterior Approach in Total Hip Arthroplasty Leads to Superior Outcomes at 3-Month Follow-up When Compared With the Posterior Approach: A Matched Study  Using Propensity Score Analysis.,,The purpose of this study was to report and compare early outcomes during the first 3 months of the recovery phase in patients who underwent primary total hip  arthroplasty (THA) with direct anterior approach (DAA) and posterior approach  (PA). BACKGROUND: The DAA for primary THA has gained popularity within the past  few years. Although controversy exists regarding the long-term benefit when  com
Y,,ZJBKCQRN,10.1101/2025.03.28.645991,2025,,Mapping cellular targets of covalent cancer drugs in the entire mammalian body.,,"As our understanding of biological systems reaches single-cell and high spatial resolutions, it becomes imperative that pharmacological approaches match this  precision to understand drug actions. This need is particularly urgent for the  targeted covalent inhibitors that are currently re-entering the stage for cancer  treatments. Therefore, we developed 3D volumetric clearing-assisted tissue clic"
Y,,5RFSGPMG,10.1111/apa.14683,2019,"Acta paediatrica (Oslo, Norway : 1992)",Nordic populations are still getting taller - secular changes in height from the 20th to 21st century.,"Humans; Adolescent; Female; Young Adult; Male; Child; *Body Height; *Human Development; Adult height; Childhood growth; Growth; History, 20th Century; History, 21st Century; Human growth; Parents; Pubertal growth; Scandinavian and Nordic Countries; Secular trend","AIM: The study aims to investigate secular changes in adult height among Nordic reference populations during the last four decades and in parents of Swedish  study participants, and to study during which growth phase(s) infancy, childhood  or puberty changes in height and tempo occurred. METHODS: Length and height data  were obtained from publications on populations used as current and previous  n"
,,7627I3DH,10.3233/bme-151339,2015,Bio-medical materials and engineering,Influential factors for pressure pulse waveform in healthy young adults.,"gender; Humans; Female; Young Adult; Male; Sex Factors; Computer Simulation; heart rate; Reproducibility of Results; *Body Mass Index; Sensitivity and Specificity; Models, Statistical; Reference Values; Blood Pressure/*physiology; *Models, Cardiovascular; Body Height/*physiology; Body Weight/*physiology; Pressure pulse waveform; Pulsatile Flow/*physiology; pulse blood pressure; Pulse/methods; systolic blood pressure","The effects of gender and other contributory factors on pulse waveform are still under arguments. In view of different results caused by few considerations of  possible influential factors and general agreement of gender relating to pulse  waveform, this study aims to address the confounding factors interfering with the  association between gender and pulse waveform characteristics. A novel method"
,,T7UVUSZG,10.1103/physreve.64.056209,2001,"Physical review. E, Statistical, nonlinear, and soft matter physics",Chaos and the continuum limit in the gravitational N-body problem: integrable potentials.,,"This paper summarizes a numerical investigation of the statistical properties of orbits evolved in ""frozen,"" time-independent N-body realizations of smooth,  time-independent density distributions corresponding to integrable potentials,  allowing for 10(2.5) < or = N < or = 10(5.5). Two principal conclusions were  reached: (1) In agreement with recent work by Valluri and Merritt, one finds  that, "
,,GFL8KCXI,10.1007/s11547-008-0359-1,2009,La Radiologia medica,Treatment of type-A3 amyelic thoracolumbar fractures (burst fractures) with kyphoplasty: initial experience.,"Humans; Adult; Female; Male; Aged; Middle Aged; Follow-Up Studies; Treatment Outcome; Time Factors; Accidents, Traffic; Accidental Falls; Bone Cements/*therapeutic use; Kyphosis/etiology/surgery; Lumbar Vertebrae/*injuries; Spinal Fractures/etiology/*surgery; Thoracic Vertebrae/*injuries; Vertebroplasty/*methods","The authors propose a minimally invasive procedure for treating type-A3 amyelic thoracolumbar fractures according to Magerl classification (compression burst  fractures). The procedure, percutaneous kyphoplasty, allows the fracture to be  reduced and vertebral height to be restored by injecting bone cement into a  cavity created in the vertebral body by an inflatable balloon introduced with the  p"
,,C38VQU2V,10.2196/68518,2025,JMIR medical education,Gamified Learning in a Virtual World for Undergraduate Emergency Radiology Education: Quasi-Experimental Study.,"game-based learning; virtual worlds; Humans; computer simulation; Adult; Female; Male; Surveys and Questionnaires; *Virtual Reality; Clinical Competence; Educational Measurement; *Education, Medical, Undergraduate/methods; *Emergency Medicine/education; *Radiology/education; case-based learning; emergency radiology; medical students; radiology education; Students, Medical/psychology/statistics & numerical data","BACKGROUND: Emergency radiology is essential for future doctors, who will face urgent cases requiring radiologic diagnosis. Using virtual simulations, gamified  clinical scenarios, and case-based learning enhances practical understanding,  develops technical and communication skills, and fosters educational innovation.  OBJECTIVE: This study aimed to assess the feasibility of learning emergency  r"
,,VFXV6247,10.1038/s41598-020-73063-7,2020,Scientific reports,"Author Correction: Perceived match between own and observed models' bodies: influence of face, viewpoints, and body size.",,An amendment to this paper has been published and can be accessed via a link at the top of the paper.
Y,,HQZYNT8E,10.1007/s00221-022-06324-8,2022,Experimental brain research,Peripersonal Space from a multisensory perspective: the distinct effect of the visual and tactile components of Visuo-Tactile stimuli.,Foot; Peripersonal space; Humans; Multisensory integration; Space Perception; Hand; *Personal Space; *Touch Perception; Touch; Bayesian methodologies; Tactile stimuli; Visual stimuli,"Peripersonal Space (PPS) is defined as the space close to the body where all interactions between the individual and the environment take place. Behavioural  experiments on PPS exploit multisensory integration, using Multisensory  Visuo-Tactile stimuli (MVT), whose visual and tactile components target the same  body part (i.e. the face, the hand, the foot). However, the effects of visual and  tact"
Y,,MPTWDYVX,10.3389/fpsyg.2018.00657,2018,Frontiers in psychology,Physiological Response to Facial Expressions in Peripersonal Space Determines Interpersonal Distance in a Social Interaction Context.,facial expression; electrodermal activity; interpersonal space; peripersonal space; physiological response,"Accurate control of interpersonal distances in social contexts is an important determinant of effective social interactions. Although comfortable interpersonal  distance seems to be dependent on social factors such as the gender, age and  activity of the confederates, it also seems to be modulated by the way we  represent our peripersonal-action space. To test this hypothesis, the present  study i"
,,S7GNNWB5,10.1007/s00426-016-0782-1,2017,Psychological research,Keeping you at arm's length: modifying peripersonal space influences interpersonal distance.,Humans; *Personal Space; *Interpersonal Relations; *Space Perception,"Peripersonal space represents the area around the body where objects are coded in motor terms for the purpose of voluntary goal-directed actions. Previous studies  have suggested that peripersonal space is also a safe space linked with our  private area, influencing interpersonal space in social contexts. However,  whether these two spaces rely on similar embodied processes remains an open  issue."
,,JTI82RH9,,2004,Medicina,[Effects of the early administration of losartan on ventricular remodeling in rabbits with experimental myocardial infarction].,"Animals; Disease Models, Animal; Rabbits; Angiotensin-Converting Enzyme Inhibitors/*administration & dosage; Fibrosis; Losartan/*administration & dosage/adverse effects; Myocardial Infarction/*pathology/physiopathology; Myocardial Reperfusion; Ventricular Remodeling/*drug effects/physiology; Wound Healing/drug effects","This study was carried out to investigate the effects of early administration of losartan on ventricular remodelling (VR) in rabbits with experimental myocardial  infarction (MI). New Zealand rabbits underwent left coronary artery ligation.  Four groups were analyzed: sham (G1; n = 13), MI (G2; n = 13), sham + Los (G3; n  = 13) and MI + Los (G4; n = 13). Los (12.5 mg/kg/d) was administered 3 hours"
,,I9A6IN8V,,1990,Archives des maladies du coeur et des vaisseaux,[Changes in contraction-relaxation coupling in experimental cardiac hypertrophy in the guinea pig].,"Animals; Female; Hypertrophy; Models, Biological; Organ Size; Guinea Pigs; *Myocardial Contraction; Heart Ventricles/*pathology/physiopathology; Hypoxia/complications; Papillary Muscles/*pathology/physiopathology","Guinea pig myocardium resembles human myocardium with respect to the mechanisms which regulate contractility (enzymatic activity of myosine, functional activity  of the sarcoplasmic reticulum). Guinea pig left ventricular hypertrophy (LVH) is  therefore a good experimental model for the study of human LVH. The mechanical  properties of 5 months old female guinea pigs' left ventricular papillary mu"
,,3UH43WFH,10.1038/s41591-022-02159-6,2023,Nature medicine,A wearable motion capture suit and machine learning predict disease progression in Friedreich's ataxia.,Motion Capture; Machine Learning; Humans; Female; Male; Cross-Sectional Studies; *Wearable Electronic Devices; *Friedreich Ataxia/diagnosis/genetics; *Spinocerebellar Ataxias; Biomarkers; Disease Progression,"Friedreich's ataxia (FA) is caused by a variant of the Frataxin (FXN) gene, leading to its downregulation and progressively impaired cardiac and neurological  function. Current gold-standard clinical scales use simplistic behavioral  assessments, which require 18- to 24-month-long trials to determine if therapies  are beneficial. Here we captured full-body movement kinematics from patients with  w"
Y,,4GJRW3PH,10.1007/s40620-018-0483-5,2018,Journal of nephrology,Assessment of physical performance and body composition in male renal transplant patients.,"Humans; Adult; Body Weight; Male; Aged; Middle Aged; Age Factors; Body Height; Waist Circumference; *Body Composition; Adiposity; *Hand Strength; *Kidney Transplantation; Body composition; Chronic kidney disease; Conservative Treatment; Exercise Test; Handgrip strength; Hemoglobins/metabolism; Intra-Abdominal Fat; Peritoneal Dialysis; Physical performance; Renal Insufficiency, Chronic/*physiopathology/*surgery/therapy; Renal transplantation","BACKGROUND: Renal transplant (RTX) recipients seem to experience a better quality of life compared to dialysis patients. However, the factors responsible for this  positive effect are not completely defined. Conceivably, a change in the physical  performance of these patients could play a role. METHODS: To assess this, we  measured: (1) waist circumference, fat mass and appendicular fat-free mass "
,,STFB8TPP,10.1007/s10339-024-01211-2,2024,Cognitive processing,Spatial memory and frames of reference: How deeply do we rely on the body and the environment?,Body Image; Humans; Adult; Female; Young Adult; Male; *Space Perception/physiology; *Environment; *Spatial Memory/physiology,"How do we mentally represent the world out there? Psychology, philosophy and neuroscience have given two classical answers: as a living space where we act and  perceive, dependent on our bodies; as an enduring physical space with its  feature, independent of our bodily interactions. The first would be based on  egocentric frames of reference anchored to the body, while the second on  allocentric f"
,,YD2H2MTK,10.4102/sajpsychiatry.v28i0.1772,2022,The South African journal of psychiatry : SAJP : the journal of the Society of Psychiatrists of South Africa,Influence of first- and second-generation antipsychotics on anthropometric parameters of male psychiatric patients.,BMI; waist circumference; antipsychotics; body measures; psychiatric patients; waist-to-height ratio; waist-to-hip ratio,"BACKGROUND: The use of antipsychotic medication, particularly second generation antipsychotics (SGAs) is a major risk factor for cardiovascular disease in people  with severe mental illness (SMI). Few studies have compared body measures of  people with SMI taking first generation antipsychotics (FGAs) to those taking  SGAs. AIM: We compare body measures between long-term male inpatients using  eit"
,,WGBP8GUP,10.1016/j.bbr.2014.07.032,2014,Behavioural brain research,Does blindness affect egocentric and allocentric frames of reference in small and large scale spaces?,Haptic; Spatial cognition; Blindness; Humans; Adult; Female; Young Adult; Male; Middle Aged; *Body Image; *Touch Perception; *Space Perception; *Spatial Processing; Blindness/*psychology; Egocentric–allocentric frame; Locomotor; Space scale,"There is evidence that early deprivation of vision prompts the use of body-based, egocentric spatial representations in congenitally blind individuals, whereas  previous visual experience favors the use of object-based, allocentric  representations (e.g. Pasqualotto A, Spiller MJ, Jansari AS, Proulx MJ. Visual  experience facilitates allocentric spatial representation. Behav Brain Res  2013;236:17"
,,KHTPH6XB,,2024,Surgical technology international,Does the ArthroSim™ Shoulder Simulation Discriminate Between the Novice and Expert User? An External Validation Study of the ArthroSim™ Shoulder Arthroscopy  Simulator.,,"INTRODUCTION: Our aim is to investigate the face validity and the construct validity of the ArthroSim™ virtual reality shoulder arthroscopy simulator (Touch  of Life Technologies, Inc., Aurora, Colorado). MATERIALS AND METHODS: Fifteen  doctors participated, with five from each of the following levels: novice with no  arthroscopies performed, intermediate with less than 50 arthroscopies performed,"
,,2UKZEQPS,10.1016/j.comppsych.2007.12.007,2008,Comprehensive psychiatry,"Compulsive exercise to control shape or weight in eating disorders: prevalence, associated features, and treatment outcome.","Body Image; Humans; Adolescent; Adult; Female; Cross-Sectional Studies; Body Mass Index; *Body Size; Exercise/*psychology; *Body Weight; Anorexia Nervosa/diagnosis/epidemiology/psychology; Bulimia Nervosa/diagnosis/epidemiology/psychology; Cognitive Behavioral Therapy; Compulsive Behavior/diagnosis/*epidemiology/rehabilitation; Diet, Reducing/psychology; Feeding and Eating Disorders/diagnosis/*epidemiology/rehabilitation; Hospitalization; Patient Admission; Patient Care Team; Personality Inventory","OBJECTIVE: The study was aimed at assessing the prevalence of compulsive exercising to control shape and weight in eating disorders (EDs) and its  relationship with treatment outcome. METHOD: Compulsive exercising to control  shape and weight, defined according to a modified version of the Intense  Exercising to Control Shape or Weight section of the Eating Disorder Examination  (EDE), was assesse"
,,3PLATX6A,10.1016/j.arcped.2023.06.008,2023,Archives de pediatrie : organe officiel de la Societe francaise de pediatrie,Undernutrition is still highly frequent in hospitalized children with cystic fibrosis.,"Pediatrics; Humans; Child; Body Mass Index; Child, Preschool; Chronic Disease; *Cystic Fibrosis/complications/epidemiology; *Malnutrition/epidemiology/etiology; Child, Hospitalized; Cystic fibrosis; Malnutrition; Nutritional Status; Protein-energy malnutrition; Survey","The aim of our study was to assess the nutritional status of hospitalized children with cystic fibrosis. We extracted data from the ePINUT surveys.  Undernutrition was defined as a body mass index (BMI) of <18.5 according to the  International Obesity Task Force cut-off, and the nutritional status goal was  defined as a BMI z-score ≥0 SD for children older than 2 years and a  weight-for-height z-s"
,,22HV4FRS,10.1101/2025.02.15.638426,2025,,A vector-based strategy for olfactory navigation in Drosophila.,,"Odors serve as essential cues for navigation. Although tracking an odor plume has been modeled as a reflexive process, it remains unclear whether animals can use  memories of their past odor encounters to infer the spatial structure of their  chemical environment or their location within it. Here we developed a  virtual-reality olfactory paradigm that allows head-fixed Drosophila to navigate  stru"
,,4XL6LM4G,10.3390/jcm12041647,2023,Journal of clinical medicine,Social Context and Tool Use Can Modulate Interpersonal Comfort Space.,action-social space; motor plasticity; reaching-comfort distance; social context; tool-use,"Recent research has investigated whether the representation of space around the body, in terms of reach-action (imagining of reaching another person) and  comfort-social (tolerance of the other's proximity) spaces, may reflect a shared  sensorimotor basis. Some studies exploiting motor plasticity induced by tool use  have not observed sensorimotor identity (i.e., the same mechanisms that underlie,"
,,HGFSML5Y,10.1016/j.hrthm.2012.10.041,2013,Heart rhythm,Electrophysiological effects of acute atrial stretch on persistent atrial fibrillation in patients undergoing open heart surgery.,"Humans; Female; Male; Aged; Middle Aged; Follow-Up Studies; Treatment Outcome; Preoperative Care; Chronic Disease; Aged, 80 and over; Body Surface Potential Mapping/*methods; Atrial Fibrillation/complications/physiopathology/*therapy; Cardiac Surgical Procedures/*methods; Catheter Ablation/*methods; Dilatation/*methods; Elective Surgical Procedures/*methods; Heart Atria; Heart Conduction System/surgery; Heart Diseases/complications/*surgery",BACKGROUND: The electrophysiologic effects of acute atrial dilatation and dedilatation in humans with chronic atrial fibrillation remains to be elucidated.  OBJECTIVE: To study the electrophysiological effects of acute atrial dedilatation  and subsequent dilatation in patients with long-standing persistent atrial  fibrillation (AF) with structural heart disease undergoing elective cardiac  surgery
,,EFDHB3EI,10.1159/000055856,2001,Pancreatology : official journal of the International Association of Pancreatology (IAP) ... [et al.],Neonatal screening for cystic fibrosis: long-term clinical balance.,"Humans; Adolescent; Adult; Body Weight; Female; Male; Child; Cross-Sectional Studies; Body Mass Index; Child, Preschool; Follow-Up Studies; Cohort Studies; Infant, Newborn; Body Height; Infant; Nutritional Status; *Neonatal Screening; Cystic Fibrosis Transmembrane Conductance Regulator/genetics; Cystic Fibrosis/*diagnosis/epidemiology; Italy/epidemiology; Proportional Hazards Models; Survival Analysis","BACKGROUND/AIMS: Very few studies have been performed on the long-term clinical advantages of neonatal screening programs for cystic fibrosis (CF) and these have  been inconclusive. This is a preliminary report of two observational cohort  studies on this subject. METHODS: In the first study, CF patients born between  1973 and 1981 in northeastern Italy were split into 4 groups according to the  m"
,,GBI8M7IR,10.3390/biology9100311,2020,Biology,The Effect of P4 + eCG Estrus Induction Protocol during the Deep and the Transition Anestrous Period on the Reproductive Performance of Crossbred Dairy  Goats.,estrus induction; fertility rate; ovulation rate; pregnancy rate; seasonal anestrous,"Seasonal reproduction restricts the offering of goat commodities across the year. Therefore, it is crucial to improve diverse strategies to induce the reproductive  response in goats during the anestrus stage. The effectiveness of a short P4 +  eCG-based estrus induction protocol during both the deep anestrous (March) or the  reproductive transition period (June) upon the reproductive performance "
,,DG23HVK7,10.1159/000502696,2020,Obesity facts,Are Obesity Indices Useful for Detecting Subclinical Atheromatosis in a Middle-Aged Population?,Humans; Female; Male; Cross-Sectional Studies; Body Mass Index; Aged; Middle Aged; Prognosis; Risk Factors; Cohort Studies; *Health Status Indicators; Adipose tissue; Adiposity/physiology; Asymptomatic Diseases; Atherosclerosis/*diagnosis/epidemiology/*etiology; Cardiovascular Diseases/diagnosis/epidemiology/etiology; Excess body weight; Obesity indices; Obesity/diagnosis/epidemiology/*etiology; Subclinical atheromatosis; Waist-Height Ratio,"OBJECTIVE: There is a close relationship between excess adiposity and cardiovascular disease. Although body mass index (BMI) is the most used approach  to estimate excess weight, other anthropometric indices have been developed to  measure total body and abdominal adiposity. Here, our objective was to assess the  usefulness of these anthropometric indices to detect subclinical atheromatous  diseas"
,,VR2CWJBR,10.1177/11206721241232038,2024,European journal of ophthalmology,Impact of weight reduction on structural and functional parameters of the optic nerve in idiopathic intracranial hypertension.,"Humans; Adult; Female; Young Adult; Male; Prospective Studies; *Body Mass Index; Weight loss; *Acetazolamide/therapeutic use; *Papilledema/physiopathology/diagnosis; *Pseudotumor Cerebri/physiopathology/complications; *Visual Acuity/physiology; *Weight Loss/physiology; Carbonic Anhydrase Inhibitors/therapeutic use; Contrast Sensitivity/physiology; IIH; Intracranial Pressure/physiology; Nerve Fibers/pathology; OCT in IIH; Optic Disk; Optic Nerve/physiopathology; papilledema; Retinal Ganglion Cells/pathology; Tomography, Optical Coherence","PURPOSE: To evaluate the effect of weight reduction on the structural and functional parameters of the optic nerve in established cases of papilledema in  Idiopathic Intracranial Hypertension (IIH). METHODS: A prospective observational  study in early and established cases of papilledema in IIH presenting from  December 2019 to February 2021. Functional parameters (visual acuity, contrast  sensiti"
,,CWYJHBEM,10.3389/fnhum.2021.798912,2021,Frontiers in human neuroscience,Bodily Illusions and Motor Imagery in Fibromyalgia.,chronic pain; bodily self; action representation; anxiety and depression; body representations; chronic pain and fibromyalgia; disturbed sense of ownership,"Fibromyalgia (FM) is characterised by chronic, continuous, widespread pain, often associated with a sense of fatigue, non-restorative sleep and physical  exhaustion. Due to the nature of this condition and the absence of other  neurological issues potentially able to induce disorders in body representations  per se, it represents a perfect model since it provides an opportunity to study  the relat"
,,2ADHNPY4,10.1093/rpd/ncp224,2009,Radiation protection dosimetry,Influence of a cement industry on the fine and ultrafine particles composition in a rural area.,Italy; *Body Burden; *Rural Population; Biological Assay/*methods; Construction Materials/*analysis; Environmental Monitoring/*methods; Industrial Waste/*analysis; Particle Size; Particulate Matter/*analysis,"The cement industry of this work is located in the Fumane valley, in the north of Verona. The environmental impact of the air emissions from the plant was studied  using different methods: the characterisation of the raw materials utilised in  the production process and of the emissions from the chimney of the clinker kiln;  the sampling of the air particles on filter in the region around the plan"
,,R5QMDR27,10.11646/zootaxa.5666.2.9,2025,Zootaxa,Boucardicus must have microtunnels! Reassignment of three species into Acroptychia (Gastropoda: Caenogastropoda: Hainesiidae).,Animals; Female; Body Size; Organ Size; *Gastropoda/classification/anatomy & histology/growth & development; Animal Distribution; Animal Structures/anatomy & histology/growth & development; Ecosystem; Species Specificity,"Boucardicus is a Madagascan endemic genus of the family Hainesiidae (subfamily Boucardicinae). The over 200 known species are variable in terms of shell shape,  but their common trait is the presence of pre-constriction ribs, under which  microtunnels run. Here we report three Boucardicus species without microtunnels,  and as a consequence, transfer them to the genus Acroptychia as follows:  Acrop"
Y,,QFH3BH7I,10.1016/j.anireprosci.2010.07.008,2010,Animal reproduction science,"Female maturation, egg characteristics and fatty acids profile in the seahorse Hippocampus guttulatus.",Animals; Temperature; Body Weight; Female; *Sexual Development; Clutch Size; Fatty Acids/analysis/*metabolism; Ovum/chemistry/*metabolism; Smegmamorpha/*growth & development,"Knowledge of the biology and ecology of seahorses (Hippocampus spp.) is scarce, but has been increasing in recent years due to their conservation status.  Captivity breeding programmes can be a valuable source of information on the  reproductive biology of seahorses. A captive broodstock of Hippocampus guttulatus  Cuvier 1829 was established in 2006 and kept under natural-like photoperiod and  tem"
,,69FW4S5T,10.1093/ndt/14.1.147,1999,"Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association",Gender-specific differences in dialysis quality (Kt/V): 'big men' are at risk of inadequate haemodialysis treatment.,"Humans; Adult; Female; Male; Retrospective Studies; Body Mass Index; Sex Characteristics; Sex Factors; Aged; Middle Aged; Regression Analysis; Risk Factors; Aged, 80 and over; Body Height; *Body Composition; Body Surface Area; Guidelines as Topic; Kidney Failure, Chronic/physiopathology/therapy; Renal Dialysis/*adverse effects/mortality/*standards; Urea/*blood","BACKGROUND: Inadequate dialysis dose is closely related to mortality and morbidity of maintenance haemodialysis (MHD) patients. According to the DOQI  guidelines a minimum prescribed dialysis dose of single-pool Kt/V (Kt/Vsp)=1.3,  equivalent to equilibrated double pool Kt/V (e-Kt/Vdp)=1.1, is recommended.  Knowledge of patient-related risk factors for inadequate delivery of  hacmodialysis would b"
,,5Z9C3MHQ,10.3390/nu15132932,2023,Nutrients,Weight Bias Internalization and Eating Disorder Psychopathology in Treatment-Seeking Patients with Obesity.,body image; Humans; Body Weight; body dissatisfaction; obesity; Body Mass Index; Body Image/psychology; *Body Dissatisfaction; *Feeding and Eating Disorders/therapy; *Weight Prejudice; empty stomach; exposure avoidance; Obesity/therapy/psychology; shape dissatisfaction; weight bias,This study aimed to investigate the relationship between weight bias internalization and eating disorder psychopathology in treatment-seeking patients  with severe obesity using a network approach. Two thousand one hundred and  thirteen patients with obesity were consecutively admitted to a specialist  clinical unit for obesity and were recruited from January 2016 to February 2023.  Body mass inde
,,YXZVFBGX,,2007,La Pediatria medica e chirurgica : Medical and surgical pediatrics,"Early diagnosis and treatment of celiac disease in type 1 diabetes. A longitudinal, case-control study.","Humans; Adolescent; Case-Control Studies; Female; Male; Child; Body Mass Index; Sex Factors; Child, Preschool; Follow-Up Studies; Risk Factors; Time Factors; Longitudinal Studies; Age Factors; Infant; Celiac Disease/*diagnosis/diet therapy/etiology/*therapy; Data Interpretation, Statistical; Diabetes Mellitus, Type 1/blood/*complications/drug therapy; Glycated Hemoglobin/analysis; Hemoglobinometry; Hypoglycemic Agents/administration & dosage/therapeutic use; Insulin/administration & dosage/therapeutic use","OBJECTIVES: Subjects with type 1 diabetes mellitus (DM) are at increased risk to develop celiac disease (CD). However, most of the published investigations on the  association between type 1 DM and CD are cross-sectional ones. In this paper,  longitudinal data are presented on the effects of gluten-free diet (GFD) on  growth and metabolic control in children and adolescents with type 1 DM screened"
,,NWJZV9BU,,2006,Terapevticheskii arkhiv,[The problem of indexation of left ventricular myocardial mass by body size in obese patients].,"Humans; Adult; Female; Male; Body Mass Index; Aged; Middle Aged; Sensitivity and Specificity; Severity of Illness Index; Disease Progression; Echocardiography/*methods; Heart Ventricles/*diagnostic imaging/physiopathology; Hypertension/complications/*diagnostic imaging/physiopathology; Hypertrophy, Left Ventricular/diagnostic imaging/etiology/physiopathology; Obesity/complications/*diagnostic imaging/physiopathology","AIM: To assess efficacy of different ECG-criteria of left ventricular myocardial hypertrophy (LVH) in hypertensive patients as regards body mass (obesity).  MATERIAL AND METHOD: Data on 100 patients (42 males and 58 females, age 19-79  years) with diagnosis of hypertension of the first-second degree were analysed.  ECG was registered in 12 leads. LVH was determined by ECG by the following  criteri"
,,9SPLDUJ6,10.1097/phm.0000000000002314,2024,American journal of physical medicine & rehabilitation,Body Composition and Physical Performance 1 Year After COVID-19.,Humans; *Quality of Life; *COVID-19; Physical Functional Performance; Adipose Tissue; Body Composition/physiology,"OBJECTIVE: Long-term consequences after COVID-19 include physical complaints, which may impair physical recovery and quality of life. DESIGN: We assessed body  composition and physical ability in patients 12 months after COVID-19.  Consecutively recruited patients recovering from mild to severe COVID-19 were  assessed using bioelectrical impedance analysis, 6-min-walk test, additional  scales for "
